城市,出度,入度,度数
渝中区,1161,1356,2517
沙坪坝区,525,497,1022
南岸区,523,458,981
九龙坡区,265,242,507
成都市,258,226,484
江北区,259,224,483
綦江区,103,94,197
乐山市,78,86,164
大足区,56,68,124
渝北区,52,47,99
德阳市,26,27,53
南川区,25,27,52
大渡口区,24,23,47
丰都县,27,18,45
巴南区,18,26,44
涪陵区,21,17,38
合川区,15,15,30
北碚区,14,14,28
云阳县,14,10,24
绵阳市,12,11,23
忠县,12,9,21
南充市,10,11,21
永川区,9,9,18
黔江区,9,8,17
雅安市,7,9,16
铜梁区,7,8,15
宜宾市,7,8,15
江津区,7,7,14
万州区,7,6,13
长寿区,6,5,11
眉山市,5,5,10
泸州市,5,4,9
梁平区,4,2,6
内江市,3,1,4
荣昌区,2,2,4
达州市,2,2,4
自贡市,1,3,4
垫江县,3,0,3
潼南区,2,0,2
广安市,1,1,2
资阳市,1,1,2
开州区,1,0,1
