景区名,景区名称,城市
IFS,IFS,IFS
816工程,重庆涪陵816工程景区,涪陵
艾叶古镇,自贡市艾叶古镇,自贡市
爱莉丝庄园,重庆黔江爱莉丝庄园,黔江
爱情谷,江油百年好合爱情谷旅游景区,绵阳市
安居古城,重庆铜梁安居古城,铜梁
安居古镇,重庆铜梁安居古城,铜梁
安顺场,石棉县安顺场景区,雅安市
安顺廊桥,安顺廊桥,安顺廊桥
安陶博物馆,重庆荣昌安陶博物馆,荣昌
安岳石窟,安岳石窟.卧佛院,资阳市
奥陶纪,奥陶纪,奥陶纪
八尔湖,南部县八尔湖景区,南充市
八台山,达州市万源八台山旅游景区,达州市
八仙山,龙华镇八仙山立佛,宜宾市
八一好吃街,八一路好吃街,八一路好吃街
八一路好吃街,八一路好吃街,八一路好吃街
八一路街道,八一路好吃街,八一路好吃街
八一路小吃街,八一路好吃街,八一路好吃街
巴山大峡谷,宣汉县巴山大峡谷旅游景区,达州市
巴山夜雨,重庆涪陵巴山夜雨休闲旅游区,涪陵
巴岳山,巴岳山,巴岳山
芭拉胡,重庆黔江芭拉胡景区,黔江
白公祠,重庆忠县白公祠文博景区,忠县
白公馆,白公馆,白公馆
白鹤梁,重庆白鹤梁水下博物馆景区,涪陵
白鹿音乐小镇,白鹿音乐小镇,成都市
白鹿中法风情小镇,白鹿中法风情小镇,白鹿中法风情小镇
白马景区,泸州市古蔺县双沙镇白马景区,泸州市
白坪,白坪一飞龙旅游区,广安市
白沙老影视基地,重庆江津白沙老重庆影视基地,江津
白沙影视基地,重庆江津白沙老重庆影视基地,江津
白塔公园,白塔公园,白塔公园
百花潭,百花潭,百花潭
百里竹海,重庆梁平百里竹海,梁平区
斑竹林,斑竹林,成都市
宝顶山,重庆大足石刻景区,大足
宝光桂湖,成都市宝光桂湖文化旅游区,成都市
宝林博物馆,重庆渝北宝林博物馆,渝北
宝轮寺,重庆磁器口古镇,沙坪坝
宝瓶口,青城山—都江堰旅游景区,成都市
宝森农林,安岳县宝森农林旅游区,资阳市
宝山,宝山旅游区,成都市
宝兴县空石林,宝兴县空石林景区,雅安市
宝箴塞,武胜县宝箴塞,广安市
保和生态度假区,保和生态旅游度假区,资阳市
保宁醋,保宁醋文化博览园旅游景区,南充市
保税体验,重庆保税体验旅游景区,江北
堡川矿,广元堡川矿记忆景区,雅安市
报国寺,资阳乐至龙门报国寺,资阳市
北仓图书馆,北仓文创园,北仓文创园
北仓文创园,北仓文创园,北仓文创园
北辰湖公园,北辰湖公园,广安市
北川羌城,北川羌城旅游区,绵阳市
北湖公园,南充市北湖公园,南充市
北泉,重庆北泉风景区,北碚
北山石刻,重庆大足石刻景区,大足
贝迪颐园温泉,重庆贝迪颐园温泉度假区,九龙坡
碧峰峡,碧峰峡旅游景区,雅安市
碧荷园,绵阳市安州区环湖碧荷园景区,绵阳市
碧水蓝天,绵阳市碧水蓝天旅游景区,绵阳市
碧瑶湾,碧瑶湾旅游景区,达州市
滨江路,滨江路,滨江路
僰王山,僰王山风景名胜区,宜宾市
布拉格,南充市南部县布拉格景区,南充市
擦耳桃源,擦耳桃源旅游景区,南充市
彩灯博物馆,中国彩灯博物馆,自贡市
彩灯大世界,中华彩灯大世界,自贡市
蚕桑乐园,瑞福蚕桑乐园,达州市
藏茶世界,雨城区藏茶世界景区,雅安市
曾家岩书院,曾家岩书院,曾家岩书院
茶兰,四川邛崃茶兰景区,成都市
茶山竹海,重庆永川茶山竹海旅游景区,永川
茶溪谷,都江堰市茶溪谷旅游景区,成都市
昌州古城,昌州古城,昌州古城
朝天门,来福士广场,来福士广场
朝天门大桥,朝天门长江大桥,朝天门长江大桥
朝天门广场,来福士广场,来福士广场
潮乡村,仪陇县新政镇安溪潮乡村旅游景区,南充市
陈独秀旧居陈列馆,重庆江津陈独秀旧居陈列馆,江津
陈抟故里,重庆市潼南区陈抟故里景区,潼南
陈毅故里,资阳市陈毅故里景区,资阳市
晨曦森林,涪城区晨曦森林度假村旅游景区,绵阳市
成都大熊猫繁育研究基地,成都大熊猫繁育研究基地,成都市
成都欢乐谷,成都欢乐谷,成都市
成都环球中心,成都环球中心,成都环球中心
成都建川博物馆,成都市建川博物馆聚落,成都市
成都鹪鹩人文精品酒店,成都鹪鹩人文精品酒店,成都鹪鹩人文精品酒店
成都锦城公园,成都锦城公园,成都锦城公园
成都玉林路,成都玉林路,成都玉林路
成都战役纪念馆,成都战役纪念馆,成都市
成佳茶乡,成佳茶乡旅游景区,成都市
城市湿地公园,仁寿城市湿地公园,眉山市
橙乡烟山,南充市高坪橙乡烟山旅游景区,南充市
崇州街子古镇,成都崇州街子古镇,成都市
崇州市博物馆,崇州市博物馆,成都市
川菜博物馆,成都市川菜博物馆,成都市
川菜体验园,中国川菜体验园景区,成都市
川剧院,川剧院,川剧院
川美,四川美术学院,四川美术学院
川西关口,川西关口景区,德阳市
川西竹海,川西竹海景区,成都市
春风里,叙州区春风里景区,宜宾市
春秋祠,泸州叙永县春秋祠,泸州市
春熙路,春熙路,春熙路
春驿花园,春驿花园景区,眉山市
纯阳观,成都市新津纯阳观景区,成都市
慈恩寺,资阳市乐至县慈恩寺旅游景区,资阳市
磁器口,重庆磁器口古镇,沙坪坝
磁器口古镇,重庆磁器口古镇,沙坪坝
萃屏公园,东兴老街,内江市
翠屏山,翠屏区翠屏山景区,宜宾市
翠映湖,青城山—都江堰旅游景区,成都市
大川河,大川河旅游景区,雅安市
大慈寺,大慈寺,大慈寺
大地艺术,四川盆底-大地艺术景区,德阳市
大佛寺,重庆潼南大佛寺,潼南
大韩民国,重庆大韩民国临时政府旧址陈列馆,渝中
大黑洞,泸州市古蔺县大黑洞风景区,泸州市
大裂谷,重庆涪陵武陵山大裂谷景区,涪陵
大林镇,天府新区大林镇翠湖梨乡,成都市
大洛水码头,大洛水码头,大洛水码头
大妙荷花,宜宾市大妙荷花景区,宜宾市
大木花谷,重庆涪陵大木花谷林下花园景区,涪陵
大瀑布群,重庆万州大瀑布群旅游区,万州
大千园,内江大千园旅游景区,内江市
大千纸故里,乐山市大千纸故里研学园,乐山市
大深南海,南充市大深南海旅游景区,南充市
大熊猫繁育研究基地,成都大熊猫繁育研究基地,成都市
大熊猫月亮产房,大熊猫月亮产房,大熊猫月亮产房
大雅文化,大雅文化旅游景区,眉山市
大雁岭,宜宾市高县大雁岭旅游景区,宜宾市
大悦城,成都大悦城,成都市
大云山,大云山景区,广安市
大足石刻,重庆大足石刻景区,大足
丹景山,成都市彭州丹景山旅游景区,成都市
丹棱?桃花源,丹棱?桃花源,眉山市
丹棱桃花源,萃屏公园,广安市
弹子石,重庆南岸长嘉汇弹子石老街,南岸
弹子石老街,重庆南岸长嘉汇弹子石老街,南岸
稻虾乐园,稻虾乐园景区,德阳市
稻香湾,稻香湾梦幻田园景区,眉山市
德园,南充市仪陇县德园景区,南充市
邓池沟,蜂桶寨邓池沟景区,雅安市
邓小平故里,邓小平故里旅游区,广安市
帝源,帝源生态农场,达州市
巅峰乐园,重庆巅峰乐园,重庆巅峰乐园
钓鱼城,重庆合川钓鱼城景区,合川
叠翠坪,沙湾区叠翠坪休闲度假中心,乐山市
叠翠溪,龙苍沟叠翠溪景区,雅安市
蝶彩花卉,蝶彩花卉景区,眉山市
东方佛都,乐山东方佛都旅游区,乐山市
东方生态博览园,逐宁市大英县东方生态博览园,遂宁市
东风堰,乐山市夹江县东风堰-千佛岩景区,乐山市
东汉醪糟,东汉醪糟旅游景区,达州市
东湖,新繁东湖景区,成都市
东郊记忆,东郊记忆,成都市
东拉山,东拉山大峡谷,雅安市
东来桃源,南充市高坪区金凤山旅游景区,南充市
东坡区惠川,东坡区惠川景区,眉山市
东水门,东水门长江大桥,东水门长江大桥
东温泉,重庆东温泉风景区,巴南
东西关钓鱼城,东西关钓鱼城,广安市
东兴老街,乐山市天工开物文化旅游景区,乐山市
董允坝伞乡,泸州市江阳区董允坝伞乡景区,泸州市
动物园,重庆动物园,九龙坡
洞亭火锅,洞亭火锅,洞亭火锅
都江堰,青城山—都江堰旅游景区,成都市
窦圌山,绵阳市江油窦圌山风景区,绵阳市
杜甫草堂,成都杜甫草堂博物馆,成都市
段家大院,德阳段家大院子川西古民居园区,德阳市
峨城山,达州市宣汉县峨城山旅游景区,达州市
峨凤岭,华蓥山峨凤岭森林农庄,广安市
峨眉山,峨眉山风景名胜区,乐山市
峨山老窖,峨山老窖景区,眉山市
鹅岭,重庆鹅岭公园,渝中
鹅岭公园,重庆鹅岭公园,渝中
鳄鱼中心,重庆市鳄鱼中心,渝北
二厂,重庆鹅岭公园,渝中
二厂文创公园,重庆鹅岭公园,渝中
贰厂,重庆鹅岭公园,渝中
范长江文化园,内江市范长江文化旅游园区,内江市
梵高星空艺术馆,梵高星空艺术馆,梵高星空艺术馆
芳邻路酒吧一条街,芳邻路酒吧一条街,芳邻路酒吧一条街
放牛坪,重庆渝北放牛坪景区,渝北
飞鸿滑草场,绵阳北川飞鸿滑草场景区,绵阳市
飞龙,白坪一飞龙旅游区,广安市
飞泉沟,青城山—都江堰旅游景区,成都市
飞仙关,飞仙关旅游景区,雅安市
飞云温泉,开江县飞云温泉景区,达州市
非物质文化遗产博览园,国际非物质文化遗产博览园,成都市
翡翠湖,重庆梁平百里竹海,梁平区
丰都鬼城,重庆丰都名山风景区,丰都
丰盛古镇,重庆巴南丰盛古镇,巴南
风水博物馆,阆中古城,南充市
凤凰湖,泸州市凤凰湖旅游景区,泸州市
凤凰花果山,重庆万州凤凰花果山景区,万州
凤鸣会步,马边凤鸣会步景区,乐山市
伏龙观,青城山—都江堰旅游景区,成都市
芙蓉园,成都市武侯区天府芙蓉园景区,成都市
佛宝森林公园,佛宝森林公园,泸州市
佛来山,宜宾市长宁县佛来山旅游景区,宜宾市
佛罗伦萨,成都佛罗伦萨小镇,成都市
佛山橘海,佛山橘海.橘乐田园景区,资阳市
佛图关,佛图关公园,佛图关公园
佛图关公园,佛图关公园,佛图关公园
福音堂,江北区福音堂,江北区福音堂
富乐山,绵阳富乐山景区,绵阳市
富民新村,大寨乡富民新村旅游景区,泸州市
富顺文庙,富顺文庙·西湖景区,自贡市
甘海子,甘海子,甘海子
高峰山,高峰山景区,遂宁市
高庙坝,重庆綦江高庙坝生态旅游区,江津
高庙古镇,高庙古镇,高庙古镇
高桥竹村,翠屏区高桥竹村景区,宜宾市
歌乐山国家森林公园,重庆歌乐山森林公园,沙坪坝
歌乐山烈士陵园,重庆歌乐山烈士陵园,渝中
歌乐山森林公园,重庆歌乐山森林公园,沙坪坝
根书艺术馆,中国根书艺术馆,乐山市
龚滩,龚滩,龚滩
龚滩古镇,龚滩古镇,龚滩古镇
贡院,贡院,贡院
贡院民俗广场,贡院民俗广场,贡院民俗广场
古佛顶,古佛顶旅游景区,内江市
古红桔,重庆万州古红桔主题公园,万州
古剑山,重庆綦江古剑山风景区,綦江
古今花海,重庆涪陵古今花海景区,涪陵
古郎,古郎景区,泸州市
古宇湖区,隆昌县古宇湖旅游区,内江市
古宇渔村,隆昌市古宇渔村景区,内江市
关岳庙,重庆关岳庙,重庆关岳庙
观音故里,遂宁市中国观音故里旅游区,遂宁市
观音湖,观音湖湿地公园旅游景区,遂宁市
观音桥,重庆观音桥商圈都市旅游区,江北
观音桥步行街,重庆观音桥商圈都市旅游区,江北
观音桥好吃街,重庆观音桥商圈都市旅游区,江北
观音桥商圈,重庆观音桥商圈都市旅游区,江北
观音山,达州市宣汉县观音山森林公园,达州市
观音塘,重庆璧山观音塘湿地公园,璧山
官村,重庆黔江官村景区,黔江
灌县古城,灌县古城,成都市
广汉房湖,广汉房湖景区,德阳市
广益中学,重庆市广益中学校园景区,南岸
桂花博览园,重庆铜梁桂花博览园,铜梁
桂花湖,桂花湖景区,眉山市
桂园,桂园,桂园
滚子坪,重庆江津滚子坪景区,江津
郭沫若故居,乐山市郭沫若故居,乐山市
国际非物质文化遗产博览园,国际非物质文化遗产博览园,成都市
国际会议展览中心,国际会议展览中心,国际会议展览中心
国际慢城,成都市祟州市天府国际慢城景区,成都市
国瑞皓峰,国瑞皓峰景区,眉山市
国色天乡乐园,成都国色天乡乐园,成都市
国泰艺术中心,国泰艺术中心,国泰艺术中心
果城花乡,宜宾市果城花乡景区,宜宾市
哈曲解放彝寨,峨边县哈曲解放彝寨,乐山市
海滨城,成都市双流区海滨城景区,成都市
海昌极地海洋世界,成都市海昌极地海洋世界景区,成都市
海兰云天,重庆海兰云天温泉度假区,九龙坡
海石公园,重庆海石公园,沙坪坝
海滩公园,泸州欢乐派海滩公园,泸州市
海棠香国,重庆大足海棠香国历史文化风情城,大足
汉丰湖,重庆开州汉丰湖景区,开州
汉海海洋公园,重庆汉海海洋公园,巴南
汉桓侯祠,阆中古城,南充市
汉姜古城,汉姜古城旅游景区,雅安市
汉亭生态农业观光园,汉亭生态农业观光园,达州市
汉旺地震遗址,绵竹汉旺地震遗址公园,德阳市
汉阳湖,汉阳湖景区,眉山市
汉源体育公园,雅安汉源体育公园,雅安市
好秾人,好秾人有机农庄,成都市
荷和原乡,荷和原乡,铜梁
荷花博览园,世界荷花博览园,遂宁市
荷花谷,荷花谷旅游景区,内江市
荷花山庄,重庆大足荷花山庄,大足
鹤鸣茶社,鹤鸣茶社,鹤鸣茶社
鹤鸣山,高坪区鹤鸣山旅游景区,南充市
黑龙滩,黑龙滩旅游景区,眉山市
黑山谷,重庆万盛黑山谷景区,万盛
黑石山,重庆江津黑石山风景区,江津
黑竹沟,乐山市黑竹沟风景区,乐山市
黑竹沟底底古彝寨,峨边县黑竹沟底底古彝寨,乐山市
黑竹沟彝寨,峨边县黑竹沟底底古彝寨,乐山市
横江古镇,宜宾横江古镇景区,宜宾市
红仓,红仓?完美文创产业园,成都市
红草坪,名山区红草坪景区,雅安市
红花源,绵阳市安州区红花源景区,绵阳市
红军村,天全县红军村景区,雅安市
红军第二路游击队烈士陵园,涪陵四川红军第二路游击队烈士陵园,涪陵
红军公园,万源市红军公园旅游景区,达州市
红军烈士纪念园,阖中市红军烈士纪念园,南充市
红军烈士墓,重庆綦江石壕红军烈士墓,綦江
红岩革命纪念馆,重庆红岩革命纪念馆,渝中
红岩魂陈列馆,红岩魂陈列馆,红岩魂陈列馆
红岩魂广场,红岩魂陈列馆,红岩魂陈列馆
红岩山,宜宾高县胜天红岩山旅游景区,宜宾市
红岩柿子,四川江安红岩柿子部落旅游景区,宜宾市
虹口,南部县升钟湖旅游景区,南充市
洪谟故里,长宁县洪谟故里景区,宜宾市
洪崖洞,重庆洪崖洞民俗风貌区,渝中
鸿恩寺,鸿恩寺,鸿恩寺
胡坝,翠屏区幸福?胡坝景区,宜宾市
湖广会馆,重庆湖广会馆,渝中
蝴蝶谷,安州区枣皮走廊·蝴蝶谷景区,绵阳市
虎峰山,重庆沙坪坝虎峰山景区,九龙坡
护国运动,护国运动文化园区,泸州市
花城果乡,安州区花城果乡旅游景区,绵阳市
花房子,大竹县花房子景区,达州市
花海果乡,花海果乡旅游景区,雅安市
花好动物园,花好动物园生态观光动物园,南充市
花椒博览园,中国花椒博览园,雅安市
花漫水乡,花漫水乡景区,内江市
花熳天下,花熳天下景区,成都市
花木编艺公园,寿安花木编艺公园,成都市
花千谷,重庆云阳县香盟花千谷景区,云阳
花山公园,重庆南川花山公园,南川
花水湾,成都市花水湾温泉度假旅游区,成都市
花田酒地,清溪谷花田酒地景区,泸州市
花舞人间,成都市花舞人间旅游景区,成都市
花坞,什邡市花坞.御景园景区,德阳市
花溪谷,天府花溪谷,成都市
花溪曙光,金口河区花溪曙光旅游景区,乐山市
花香果居,新都花香果居旅游景区,成都市
花香田园,花香田园景区,自贡市
华生园,重庆华生园金色蛋糕梦幻王国景区,大渡口
华生园金色蛋糕梦幻王国,重庆华生园金色蛋糕梦幻王国景区,大渡口
华岩旅游区,重庆华岩旅游区,九龙坡
华蓥山,广安华蓥山旅游区,广安市
滑石古寨,重庆梁平滑石古寨景区,梁平
浣花溪,浣花溪,浣花溪
皇冠大扶梯,皇冠大扶梯,皇冠大扶梯
黄鹤湖,市中区黄鹤湖旅游区,内江市
黄花园大桥,黄花园大桥,黄花园大桥
黄继光纪念馆,黄继光纪念馆,德阳市
黄荆老林,黄荆老林,泸州市
黄桷树公园,邻水县黄桷树公园,广安市
黄桷湾立交桥,黄桷湾立交桥,黄桷湾立交桥
黄龙溪,成都市双流区黄龙溪旅游区,成都市
黄山蒋介石官邸,黄山蒋介石官邸,黄山蒋介石官邸
会龙庄,重庆江津会龙庄景区,江津
会仙楼,重庆会仙楼,重庆会仙楼
火箭湖,瑞鑫火箭湖旅游景区,自贡市
际华园,重庆际华园景区,渝北
继勋公园,继勋公园,遂宁市
加勒比海水世界,重庆加勒比海水世界景区,南岸
嘉陵第一桑梓,嘉陵第一桑梓风景区,南充市
嘉陵江大桥,嘉陵江大桥,嘉陵江大桥
嘉西村,重庆渝中嘉西村—怡园景区,綦江
尖山风,自贡市尖山风景区,自贡市
犍为文庙,犍为文庙,乐山市
建川博物馆,建川博物馆,建川博物馆
剑南老街,剑南老街,德阳市
江池横梁,重庆丰都江池横梁景区,丰都
江油佛爷洞,绵阳市江油佛爷洞旅游景区,绵阳市
酱文化博览园,江油市中国酱文化博览园,绵阳市
教育博物馆,重庆綦江教育博物馆,綦江
解放碑,解放碑,解放碑
金刀峡,重庆北碚金刀峡景区,北碚
金蝶湖,重庆万盛金蝶湖文化公园景区,万盛
金凤山,金凤山景区,雅安市
金佛山,重庆南川金佛山景区,南川
金口大峡谷,金口河区大渡河金口大峡谷旅游景区,乐山市
金兰花谷,金兰花谷,宜宾市
金梅印象,重庆铜梁金梅印象景区,铜梁
金盆地酒文化,四川金盆地酒文化博览园,成都市
金秋湖,翠屏区金秋湖茶博园景区,宜宾市
金色清平,金色清平景区,德阳市
金沙遗址,成都金沙遗址博物馆,成都市
金山寺,开江金山寺旅游景区,达州市
金鹰山荘,乐山金鹰山荘,乐山市
金钟山,月亮湾.金钟山景区,雅安市
锦里,锦里,锦里
锦门,成都市锦门景区,成都市
锦屏山,锦屏山3A级景区,宜宾市
进士文化,南充市营山县进士文化旅游景区,南充市
缙云山,重庆缙云山景区,北碚
净音寺,净音寺,净音寺
静观花木,重庆北碚静观花木生态旅游区,北碚
九凤山,重庆九龙坡九凤山景区,万州
九皇山,九皇山,绵阳市
九街,九街,九街
九龙山,成都市虹口旅游景区,成都市
九五,重庆万县“九五”惨案纪念馆,万州
九眼桥,九眼桥,九眼桥
九重天,重庆丰都九重天景区,丰都
九子山,九子山旅游景区,宜宾市
橘乐田园,佛山橘海.橘乐田园景区,资阳市
橘香小镇,橘香小镇,宜宾市
橘源,仪陇县橘源旅游景区,南充市
巨石阵,宜宾市兴文县僰人巨石阵景区,宜宾市
君兰天下,华蓥市君兰天下生态文化园,广安市
开州博物馆,重庆开州博物馆,开州
恺之峰,重庆垫江恺之峰旅游区,垫江
抗战名人,重庆沙坪坝抗战名人旧居,沙坪坝
抗战遗址博物馆,重庆抗战遗址博物馆,南岸
可久红岩山,高县可久红岩山旅游景区,宜宾市
恐龙博物馆,自贡恐龙博物馆,自贡市
苦竹,苦竹?天泉景区,宜宾市
苦竹.天泉景区,苦竹?天泉景区,宜宾市
宽窄巷子,宽窄巷子,成都市
奎星楼,奎星楼,奎星楼
魁星楼,魁星楼,魁星楼
夔门,夔门,夔门
喇叭河,雅安喇叭河森林公园,雅安市
来福士,来福士广场,来福士广场
涞滩古镇,重庆合川涞滩古镇,合川
兰桂坊,兰桂坊,兰桂坊
岚苑,重庆市南岸岚苑景区,南岸
蓝月谷,蓝月谷,蓝月谷
阆中,阆中古城,南充市
阆中古城,阆中古城,南充市
阆中文庙,阆中文庙,南充市
老北街,老北街,老北街
老峨山,老峨山景区,眉山市
老河沟,平武县老河沟景区,绵阳市
老君山,老君山,老君山
老瀛山,重庆綦江国家地质公园老瀛山景区,綦江
乐和乐都,重庆乐和乐都景区,永川
乐山,乐山大佛景区,乐山市
乐山大佛,乐山大佛景区,乐山市
乐山乌木文化博览苑,乐山乌木文化博览苑,乐山乌木文化博览苑
乐天花谷,乐天花谷,乐天花谷
乐贤半岛,乐贤半岛旅游区,内江市
雷畅故居,雷畅故居景区,乐山市
雷公山,南溪区雷公山景区,宜宾市
黎明村,仪陇县黎明村旅游景区,南充市
黎香湖,重庆南川黎香湖湿地生态园,南川
李白故居,绵阳市江油李白故居旅游景区,绵阳市
李白纪念馆,江油李白纪念馆景区,绵阳市
李冰文化,李冰文化旅游景区,德阳市
李花源,重庆垫江李花源景区,垫江
李蔚如故里,重庆涪陵李蔚如故里,涪陵
李庄古镇,宜宾市李庄古镇,宜宾市
李子坝,李子坝轻轨,李子坝轻轨
李子坝公园,李子坝公园,李子坝公园
李子坝抗战遗址公园,李子坝公园,李子坝公园
李子坝轻轨,李子坝轻轨,李子坝轻轨
连二里市,成都连二里市旅游景区,成都市
凉水湾,兴文县凉水湾景区,宜宾市
梁平柚海,重庆中华梁平柚海,梁平
两弹城,绵阳市梓潼县两弹城旅游景区,绵阳市
两江国际影视城,重庆两江国际影视城,渝北
临江寺,雁江区临江寺?川味源文化旅游景区,资阳市 
灵关石城,灵关石城旅游景区,雅安市
苓茏苑,重庆北碚西山坪苓茏苑,北碚
凌云山,南充市凌云山景区,南充市
岭上花开,岭上花开农业公园,德阳市
刘伯承同志纪念馆,重庆开州刘伯承同志纪念馆,开州
刘氏庄园,刘氏庄园旅游区,成都市
流杯池,宜宾市流杯池公园,宜宾市
鎏嘉码头,重庆鎏嘉码头景区,江北
柳江古镇,柳江古镇旅游景区,眉山市
龙苍沟,龙苍沟叠翠溪景区,雅安市
龙茶花海,宜宾市珙县龙茶花海景区,宜宾市
龙凤,遂宁市龙凤景区,遂宁市
龙缸,重庆云阳龙缸景区,云阳
龙浒峡漂流,龙浒峡漂流,龙浒峡漂流
龙洄酒庄,龙洄酒庄,泸州市
龙门古镇,芦山县龙门古镇旅游景区,雅安市
龙门浩老街,龙门浩老街,龙门浩老街
龙蟠溪,龙蟠溪,宜宾市
龙桥文化生态园,龙桥文化生态园,泸州市
龙泉国际,成都市龙泉国际标榜旅游区,成都市
龙神垭,仪陇县龙神垭乡村旅游景区,南充市
龙滩子,名山区龙滩子景区,雅安市
龙潭河,达州万源市龙潭河旅游景区,达州市
龙头嘴,重庆市龙头嘴森林公园,开州
龙兴古镇,重庆渝北龙兴古镇景区,渝北
隆昌古湖,内江市隆昌古湖景区,内江市
芦苇滩,芦苇滩,芦苇滩
泸州方山,泸州方山旅游区,泸州市
泸州老窖,泸州老窖旅游区,泸州市
泸州市博物馆,泸州市博物馆,泸州市
鹿鸣茶海,鹿鸣茶海旅游景区,宜宾市
麓湖,成都麓湖水城景区,成都市
